# Downloaded at 2025-09-17 15:01:00 [UTC]
# Station name = Belfast Maine Harbor
# Device type = Level
# Device serial = PTM5461
# Latitude [deg] = 44.428903
# Longitude [deg] = -69.004461
# Current probe level = 6.28 m w.r.t. local datum
# 
# timestamp [sec UTC],timestring [America/New_York],Water level [ft]# 
1704308400,2024-01-03 14:00:00,8.759
1704309300,2024-01-03 14:15:00,9.005
1704310200,2024-01-03 14:30:00,9.251
1704311100,2024-01-03 14:45:00,9.512
1704312000,2024-01-03 15:00:00,9.684
1704312900,2024-01-03 15:15:00,9.798
1704313800,2024-01-03 15:30:00,9.852
1704314700,2024-01-03 15:45:00,10.016
1704315600,2024-01-03 16:00:00,10.024
1704316500,2024-01-03 16:15:00,9.977
1704317400,2024-01-03 16:30:00,10.016
1704318300,2024-01-03 16:45:00,10.019
1704319200,2024-01-03 17:00:00,9.860
1704320100,2024-01-03 17:15:00,9.560
1704321000,2024-01-03 17:30:00,9.226
1704321900,2024-01-03 17:45:00,8.872
1704322800,2024-01-03 18:00:00,8.390
1704323700,2024-01-03 18:15:00,7.795
1704324600,2024-01-03 18:30:00,7.228
1704325500,2024-01-03 18:45:00,6.732
1704326400,2024-01-03 19:00:00,6.173
1704327300,2024-01-03 19:15:00,5.611
1704328200,2024-01-03 19:30:00,5.078
1704329100,2024-01-03 19:45:00,4.559
1704330000,2024-01-03 20:00:00,4.133
1704330900,2024-01-03 20:15:00,3.645
1704331800,2024-01-03 20:30:00,3.332
1704332700,2024-01-03 20:45:00,3.074
1704333600,2024-01-03 21:00:00,2.863
1704334500,2024-01-03 21:15:00,2.584
1704335400,2024-01-03 21:30:00,2.478
1704336300,2024-01-03 21:45:00,2.366
1704337200,2024-01-03 22:00:00,2.303
1704338100,2024-01-03 22:15:00,2.085
1704339000,2024-01-03 22:30:00,2.115
1704339900,2024-01-03 22:45:00,2.143
1704340800,2024-01-03 23:00:00,2.320
1704341700,2024-01-03 23:15:00,2.606
1704342600,2024-01-03 23:30:00,2.925
1704343500,2024-01-03 23:45:00,3.118
1704344400,2024-01-04 00:00:00,3.572
1704345300,2024-01-04 00:15:00,3.935
1704346200,2024-01-04 00:30:00,4.442
1704347100,2024-01-04 00:45:00,5.023
1704348000,2024-01-04 01:00:00,5.616
1704348900,2024-01-04 01:15:00,6.242
1704349800,2024-01-04 01:30:00,6.794
1704350700,2024-01-04 01:45:00,7.333
1704351600,2024-01-04 02:00:00,7.913
1704352500,2024-01-04 02:15:00,8.489
1704353400,2024-01-04 02:30:00,8.909
1704354300,2024-01-04 02:45:00,9.282
1704355200,2024-01-04 03:00:00,9.598
1704356100,2024-01-04 03:15:00,9.876
1704357000,2024-01-04 03:30:00,10.073
1704357900,2024-01-04 03:45:00,10.241
1704358800,2024-01-04 04:00:00,10.321
1704359700,2024-01-04 04:15:00,10.423
1704360600,2024-01-04 04:30:00,10.531
1704361500,2024-01-04 04:45:00,10.547
1704362400,2024-01-04 05:00:00,10.443
1704363300,2024-01-04 05:15:00,10.225
1704364200,2024-01-04 05:30:00,10.016
1704365100,2024-01-04 05:45:00,9.770
1704366000,2024-01-04 06:00:00,9.586
1704366900,2024-01-04 06:15:00,9.248
1704367800,2024-01-04 06:30:00,8.632
1704368700,2024-01-04 06:45:00,8.004
1704369600,2024-01-04 07:00:00,7.519
1704370500,2024-01-04 07:15:00,7.121
1704371400,2024-01-04 07:30:00,6.577
1704372300,2024-01-04 07:45:00,6.074
1704373200,2024-01-04 08:00:00,5.614
1704374100,2024-01-04 08:15:00,5.121
1704375000,2024-01-04 08:30:00,4.631
1704375900,2024-01-04 08:45:00,4.221
1704376800,2024-01-04 09:00:00,3.904
1704377700,2024-01-04 09:15:00,3.575
1704378600,2024-01-04 09:30:00,3.322
1704379500,2024-01-04 09:45:00,3.080
1704380400,2024-01-04 10:00:00,2.883
1704381300,2024-01-04 10:15:00,2.798
1704382200,2024-01-04 10:30:00,2.748
1704383100,2024-01-04 10:45:00,2.561
1704384000,2024-01-04 11:00:00,2.587
1704384900,2024-01-04 11:15:00,2.721
1704385800,2024-01-04 11:30:00,2.841
1704386700,2024-01-04 11:45:00,3.052
1704387600,2024-01-04 12:00:00,3.225
1704388500,2024-01-04 12:15:00,3.511
1704389400,2024-01-04 12:30:00,3.879
1704390300,2024-01-04 12:45:00,4.245
1704391200,2024-01-04 13:00:00,4.715
1704392100,2024-01-04 13:15:00,5.313
1704393000,2024-01-04 13:30:00,5.881
1704393900,2024-01-04 13:45:00,6.412
1704394800,2024-01-04 14:00:00,6.809
1704395700,2024-01-04 14:15:00,7.278
1704396600,2024-01-04 14:30:00,7.669
1704397500,2024-01-04 14:45:00,8.046
1704398400,2024-01-04 15:00:00,8.432
1704399300,2024-01-04 15:15:00,8.929
1704400200,2024-01-04 15:30:00,9.029
1704401100,2024-01-04 15:45:00,9.114
1704402000,2024-01-04 16:00:00,9.296
1704402900,2024-01-04 16:15:00,9.433
1704403800,2024-01-04 16:30:00,9.542
1704404700,2024-01-04 16:45:00,9.620
1704405600,2024-01-04 17:00:00,9.737
1704406500,2024-01-04 17:15:00,9.567
1704407400,2024-01-04 17:30:00,9.466
1704408300,2024-01-04 17:45:00,9.228
1704409200,2024-01-04 18:00:00,8.875
1704410100,2024-01-04 18:15:00,8.482
1704411000,2024-01-04 18:30:00,8.123
1704411900,2024-01-04 18:45:00,7.682
1704412800,2024-01-04 19:00:00,7.073
1704413700,2024-01-04 19:15:00,6.635
1704414600,2024-01-04 19:30:00,6.036
1704415500,2024-01-04 19:45:00,5.558
1704416400,2024-01-04 20:00:00,5.101
1704417300,2024-01-04 20:15:00,4.732
1704418200,2024-01-04 20:30:00,4.349
1704419100,2024-01-04 20:45:00,3.971
1704420000,2024-01-04 21:00:00,3.501
1704420900,2024-01-04 21:15:00,3.109
1704421800,2024-01-04 21:30:00,2.721
1704422700,2024-01-04 21:45:00,2.360
1704423600,2024-01-04 22:00:00,2.069
1704424500,2024-01-04 22:15:00,1.856
1704425400,2024-01-04 22:30:00,1.670
1704426300,2024-01-04 22:45:00,1.511
1704427200,2024-01-04 23:00:00,1.450
1704428100,2024-01-04 23:15:00,1.506
1704429000,2024-01-04 23:30:00,1.555
1704429900,2024-01-04 23:45:00,1.651
1704430800,2024-01-05 00:00:00,1.907
1704431700,2024-01-05 00:15:00,2.190
